Executive,Ira Woodring,woodriir@acme-machining.com,./images/woodring.png,37123234.67,CEO
Manager,Henrietta Johnson,henjohnson@acme-machining.com,./images/placeholder.png,85256.63,HR
Manager,Fenton Crackshell,fentoncrackshell@acme-machining.com,./images/placeholder.png,85256.63,ACCOUNTING
Manager,Mick Jagger,themick@acme-machining.com,./images/placeholder.png,85256.63,FINANCE
Manager,Dr. Emmett Brown,embrown@acme-machining.com,./images/placeholder.png,85256.63,R_AND_D
Manager,Kaylee Frye,kayleefrye@acme-machining.com,./images/placeholder.png,85256.63,MACHINING
Temp,Jason VanderPlaus,temp-jason@acme-machining.com,./images/placeholder.png,15.67,2023-07-28 00:00:00
Permanent,Xiao Ling,xiaol@acme-machining.com,./images/placeholder.png,24.56,2013-03-12 00:00:00
Executive,Ana Posada,posadaa@acme-machining.com,./images/placeholder.png,57123234.21,CIO
Permanent,Jennifer Greene,greenj@acme-machining.com,./images/placeholder.png,25.23,2011-11-30 00:00:00
